Year,Value,Series Code,Country Name
2024,8142056446.0,SP.POP.HISTORY,World
2023,8064976601.0,SP.POP.HISTORY,World
2022,7990399768.0,SP.POP.HISTORY,World
2021,7920861888.0,SP.POP.HISTORY,World
2020,7855075060.0,SP.POP.HISTORY,World
2019,7778303912.0,SP.POP.HISTORY,World
2018,7697492379.0,SP.POP.HISTORY,World
2017,7614748582.0,SP.POP.HISTORY,World
2016,7529066617.0,SP.POP.HISTORY,World
2015,7441826877.0,SP.POP.HISTORY,World
2014,7354183367.0,SP.POP.HISTORY,World
2013,7265970522.0,SP.POP.HISTORY,World
2012,7176968877.0,SP.POP.HISTORY,World
2011,7087120034.0,SP.POP.HISTORY,World
2010,7001266876.0,SP.POP.HISTORY,World
2009,6916589116.0,SP.POP.HISTORY,World
2008,6830513541.0,SP.POP.HISTORY,World
2007,6744489399.0,SP.POP.HISTORY,World
2006,6659977025.0,SP.POP.HISTORY,World
2005,6575841506.0,SP.POP.HISTORY,World
2004,6492769815.0,SP.POP.HISTORY,World
2003,6409750441.0,SP.POP.HISTORY,World
2002,6327557399.0,SP.POP.HISTORY,World
2001,6245112906.0,SP.POP.HISTORY,World
2000,6161884811.0,SP.POP.HISTORY,World
1999,6078404337.0,SP.POP.HISTORY,World
1998,5994040064.0,SP.POP.HISTORY,World
1997,5908466557.0,SP.POP.HISTORY,World
1996,5822614626.0,SP.POP.HISTORY,World
1995,5736505516.0,SP.POP.HISTORY,World
1994,5650853177.0,SP.POP.HISTORY,World
1993,5564778620.0,SP.POP.HISTORY,World
1992,5477123965.0,SP.POP.HISTORY,World
1991,5388496228.0,SP.POP.HISTORY,World
1990,5299246757.0,SP.POP.HISTORY,World
2025,8250431177.633606,SP.POP.POLY,World
2026,8331972540.007446,SP.POP.POLY,World
2027,8413360916.627197,SP.POP.POLY,World
2028,8494596307.492798,SP.POP.POLY,World
2029,8575678712.604248,SP.POP.POLY,World
2030,8656608131.961426,SP.POP.POLY,World
2025,8267412596.349609,SP.POP.LINEAR,World
2026,8351784195.175354,SP.POP.LINEAR,World
2027,8436155794.001129,SP.POP.LINEAR,World
2028,8520527392.826904,SP.POP.LINEAR,World
2029,8604898991.65268,SP.POP.LINEAR,World
2030,8689270590.478455,SP.POP.LINEAR,World
